group,langshort,lang,wloski,turecki,slowenski,szwedzki,francuski,litewski,bosniacki,slowacki,rumunski,azerski,angielski,islandzki,dunski,holenderski,luksemburski,albanski,niemiecki,portugalski,czeski,estonski,lotewski,chorwacki,hiszpanski,wegierski,maltanski,finski,polski,gaelicki,serbski
6,it,wloski,0.0,0.7313240043057051,0.5889773950484392,0.5252099031216362,0.34932185145317546,0.5711517761033369,0.5870398277717976,0.5876856835306782,0.45791173304628635,0.7995694294940796,0.3897093649085038,0.7669321851453176,0.5495801937567276,0.5907427341227126,0.5814854682454252,0.567491926803014,0.5801506996770721,0.3111302475780409,0.6193326157158234,0.6115823466092573,0.6008180839612487,0.5593541442411195,0.3421313240043057,0.7395909580193757,0.6542949407965555,0.6154144241119484,0.6806027987082884,0.7732185145317546,0.5938858988159311
2,tr,turecki,0.7313240043057051,0.0,0.7360602798708289,0.6939504843918192,0.7645209903121636,0.7035522066738429,0.7292572658772875,0.7603875134553283,0.76254036598493,0.42445640473627555,0.7133261571582347,0.755048439181916,0.7168137782561894,0.7621097954790097,0.7973304628632939,0.6918406889128095,0.7571582346609257,0.7284822389666308,0.7564693218514532,0.6843918191603875,0.7280516684607105,0.7285252960172228,0.7758019375672767,0.7539720129171151,0.7676641550053821,0.7446716899892357,0.8310010764262648,0.9032508073196986,0.7110441334768568
1,sl,slowenski,0.5889773950484392,0.7360602798708289,0.0,0.6010333692142088,0.6741872981700754,0.46604951560818086,0.17502691065662002,0.3460495156081808,0.6665662002152852,0.8754790096878364,0.6606243272335846,0.7743810548977395,0.5795479009687836,0.6371582346609257,0.7397631862217439,0.5130678148546824,0.7332615715823466,0.60254036598493,0.3767491926803014,0.5994402583423035,0.5159956942949407,0.17377825618945103,0.6266523143164693,0.6845640473627557,0.7081593110871905,0.6315177610333692,0.5379978471474705,0.9044133476856835,0.1871259418729817
5,se,szwedzki,0.5252099031216362,0.6939504843918192,0.6010333692142088,0.0,0.5424327233584499,0.586307857911733,0.5903121636167923,0.5964693218514532,0.6874488697524219,0.8018945102260495,0.48770721205597417,0.59745963401507,0.35522066738428415,0.5292572658772874,0.5444994617868676,0.5821743810548977,0.5052744886975242,0.5556512378902045,0.60254036598493,0.6071474703982778,0.6139504843918192,0.6181700753498386,0.5882023681377826,0.6707857911733046,0.662475780409042,0.5811410118406889,0.7004951560818083,0.7995263724434877,0.6010333692142088
6,fr,francuski,0.34932185145317546,0.7645209903121636,0.6741872981700754,0.5424327233584499,0.0,0.5910010764262648,0.6764262648008611,0.6440904198062433,0.4843487621097955,0.8231216361679224,0.33636167922497306,0.7541872981700753,0.5266307857911733,0.615113024757804,0.536232508073197,0.5857911733046286,0.5807534983853606,0.33020452099031217,0.6468891280947255,0.6480086114101185,0.5939720129171152,0.6733261571582346,0.37442411194833153,0.7281808396124866,0.6803875134553283,0.6186006458557589,0.7717115177610334,0.7402368137782562,0.6705705059203445
10,lt,litewski,0.5711517761033369,0.7035522066738429,0.46604951560818086,0.586307857911733,0.5910010764262648,0.0,0.43039827771797634,0.5067384284176534,0.5832508073196986,0.8006889128094725,0.5914316469321852,0.7244779332615716,0.6478794402583423,0.6626910656620022,0.6940796555435953,0.4933907427341227,0.6883100107642627,0.506264800861141,0.5557373519913886,0.5514747039827772,0.43216361679224974,0.4207965554359526,0.5867384284176534,0.7127664155005382,0.6728955866523143,0.508762109795479,0.635091496232508,0.8452960172228202,0.432551130247578
1,bs,bosniacki,0.5870398277717976,0.7292572658772875,0.17502691065662002,0.5903121636167923,0.6764262648008611,0.43039827771797634,0.0,0.4089989235737352,0.6576533907427341,0.8459418729817008,0.657481162540366,0.7404090419806243,0.6134768568353067,0.6602798708288482,0.7268030139935414,0.5089343379978472,0.7244348762109796,0.5870828848223897,0.4602368137782562,0.5923358449946179,0.5345102260495156,0.06260495156081808,0.6122712594187298,0.7330893433799784,0.7171151776103337,0.6382346609257266,0.5326587728740582,0.8831431646932185,0.07306781485468246
1,sk,slowacki,0.5876856835306782,0.7603875134553283,0.3460495156081808,0.5964693218514532,0.6440904198062433,0.5067384284176534,0.4089989235737352,0.0,0.6552421959095802,0.8944671689989235,0.6327233584499462,0.7215500538213132,0.6184714747039828,0.6684607104413348,0.7153928955866523,0.5881162540365985,0.7197847147470399,0.5558665231431646,0.21735199138858988,0.6986006458557589,0.5782131324004306,0.36766415500538213,0.6142518837459634,0.6440473627556512,0.7361463939720129,0.6806027987082884,0.5072551130247578,0.9161679224973089,0.36099031216361677
6,ro,rumunski,0.45791173304628635,0.76254036598493,0.6665662002152852,0.6874488697524219,0.4843487621097955,0.5832508073196986,0.6576533907427341,0.6552421959095802,0.0,0.8485252960172228,0.5003659849300323,0.8135629709364909,0.6868460710441334,0.6938643702906351,0.663681377825619,0.6336706135629709,0.6645425188374596,0.4307857911733046,0.6607534983853606,0.6439181916038751,0.5993110871905275,0.6194617868675996,0.46880516684607104,0.807534983853606,0.7200861141011841,0.6421097954790097,0.7539720129171151,0.8070613562970936,0.6544241119483315
2,az,azerski,0.7995694294940796,0.42445640473627555,0.8754790096878364,0.8018945102260495,0.8231216361679224,0.8006889128094725,0.8459418729817008,0.8944671689989235,0.8485252960172228,0.0,0.7984930032292787,0.8247578040904198,0.8448654467168999,0.8873627556512379,0.9071259418729817,0.7751130247578041,0.8684176533907427,0.7846716899892358,0.8942949407965555,0.8198493003229279,0.8283315392895587,0.8344025834230355,0.835005382131324,0.887448869752422,0.7988374596340151,0.8510226049515608,0.9251668460710442,0.9506135629709365,0.8253606027987083
6,en,angielski,0.3897093649085038,0.7133261571582347,0.6606243272335846,0.48770721205597417,0.33636167922497306,0.5914316469321852,0.657481162540366,0.6327233584499462,0.5003659849300323,0.7984930032292787,0.0,0.7280086114101184,0.4548977395048439,0.5159526372443488,0.5068675995694295,0.543810548977395,0.5339504843918191,0.4025834230355221,0.6244994617868675,0.6159311087190528,0.6066738428417653,0.6484391819160388,0.46346609257265875,0.7338213132400431,0.6177395048439182,0.6282454251883746,0.7079009687836383,0.6555866523143165,0.6582131324004306
5,is,islandzki,0.7669321851453176,0.755048439181916,0.7743810548977395,0.59745963401507,0.7541872981700753,0.7244779332615716,0.7404090419806243,0.7215500538213132,0.8135629709364909,0.8247578040904198,0.7280086114101184,0.0,0.6281593110871905,0.7548331539289559,0.7769644779332616,0.7431216361679225,0.7176318622174381,0.7144886975242196,0.7541442411194833,0.6635091496232508,0.7496232508073197,0.7388589881593111,0.7923358449946178,0.7923789020452099,0.8068030139935415,0.7515177610333692,0.8547685683530678,0.88508073196986,0.7172874058127018
5,da,dunski,0.5495801937567276,0.7168137782561894,0.5795479009687836,0.35522066738428415,0.5266307857911733,0.6478794402583423,0.6134768568353067,0.6184714747039828,0.6868460710441334,0.8448654467168999,0.4548977395048439,0.6281593110871905,0.0,0.49657696447793326,0.536232508073197,0.6034015069967708,0.49502691065662,0.5886329386437029,0.635048439181916,0.6442626480086114,0.6333692142088267,0.6634230355220667,0.632508073196986,0.7071689989235738,0.7088051668460711,0.6432723358449947,0.7536706135629709,0.8523143164693219,0.6167491926803014
4,nl,holenderski,0.5907427341227126,0.7621097954790097,0.6371582346609257,0.5292572658772874,0.615113024757804,0.6626910656620022,0.6602798708288482,0.6684607104413348,0.6938643702906351,0.8873627556512379,0.5159526372443488,0.7548331539289559,0.49657696447793326,0.0,0.4734122712594187,0.6403875134553283,0.47117330462863294,0.5995694294940797,0.6631646932185146,0.635005382131324,0.6766846071044134,0.6680301399354144,0.6728094725511302,0.7395048439181916,0.721248654467169,0.6667814854682454,0.7466523143164693,0.8570936490850377,0.6719913885898816
4,lx,luksemburski,0.5814854682454252,0.7973304628632939,0.7397631862217439,0.5444994617868676,0.536232508073197,0.6940796555435953,0.7268030139935414,0.7153928955866523,0.663681377825619,0.9071259418729817,0.5068675995694295,0.7769644779332616,0.536232508073197,0.4734122712594187,0.0,0.6517545748116254,0.39483315392895585,0.5671905274488698,0.7107857911733046,0.6913670613562971,0.6811625403659849,0.7644348762109795,0.6267814854682454,0.7522497308934338,0.6868891280947255,0.6140365984930032,0.7529817007534984,0.811280947255113,0.7567276641550054
9,al,albanski,0.567491926803014,0.6918406889128095,0.5130678148546824,0.5821743810548977,0.5857911733046286,0.4933907427341227,0.5089343379978472,0.5881162540365985,0.6336706135629709,0.7751130247578041,0.543810548977395,0.7431216361679225,0.6034015069967708,0.6403875134553283,0.6517545748116254,0.0,0.6695371367061357,0.5519483315392896,0.614940796555436,0.5944886975242196,0.5197416576964478,0.5043702906350915,0.6083100107642626,0.7218083961248655,0.6490419806243273,0.5913455328310011,0.6790527448869752,0.8061141011840689,0.5080301399354145
4,de,niemiecki,0.5801506996770721,0.7571582346609257,0.7332615715823466,0.5052744886975242,0.5807534983853606,0.6883100107642627,0.7244348762109796,0.7197847147470399,0.6645425188374596,0.8684176533907427,0.5339504843918191,0.7176318622174381,0.49502691065662,0.47117330462863294,0.39483315392895585,0.6695371367061357,0.0,0.6090419806243272,0.7298170075349839,0.6676856835306781,0.711259418729817,0.7218514531754575,0.6616146393972013,0.7647793326157158,0.7199138858988159,0.6697093649085037,0.778729817007535,0.797545748116254,0.7245640473627557
6,pt,portugalski,0.3111302475780409,0.7284822389666308,0.60254036598493,0.5556512378902045,0.33020452099031217,0.506264800861141,0.5870828848223897,0.5558665231431646,0.4307857911733046,0.7846716899892358,0.4025834230355221,0.7144886975242196,0.5886329386437029,0.5995694294940797,0.5671905274488698,0.5519483315392896,0.6090419806243272,0.0,0.5665446716899892,0.5927664155005382,0.5429063509149623,0.5836813778256189,0.18958019375672766,0.7011840688912809,0.6643272335844994,0.6091711517761034,0.6768568353067815,0.7485037674919268,0.6006458557588805
1,cz,czeski,0.6193326157158234,0.7564693218514532,0.3767491926803014,0.60254036598493,0.6468891280947255,0.5557373519913886,0.4602368137782562,0.21735199138858988,0.6607534983853606,0.8942949407965555,0.6244994617868675,0.7541442411194833,0.635048439181916,0.6631646932185146,0.7107857911733046,0.614940796555436,0.7298170075349839,0.5665446716899892,0.0,0.6840043057050592,0.5918191603875135,0.39306781485468245,0.6355220667384284,0.6467168998923574,0.7315392895586652,0.6621313240043057,0.5735199138858988,0.8851668460710441,0.43332615715823464
3,ee,estonski,0.6115823466092573,0.6843918191603875,0.5994402583423035,0.6071474703982778,0.6480086114101185,0.5514747039827772,0.5923358449946179,0.6986006458557589,0.6439181916038751,0.8198493003229279,0.6159311087190528,0.6635091496232508,0.6442626480086114,0.635005382131324,0.6913670613562971,0.5944886975242196,0.6676856835306781,0.5927664155005382,0.6840043057050592,0.0,0.6337997847147471,0.5670613562970936,0.6642841765339075,0.7386006458557589,0.7180193756727664,0.4241119483315393,0.7716254036598493,0.8149407965554359,0.5868675995694295
10,lv,lotewski,0.6008180839612487,0.7280516684607105,0.5159956942949407,0.6139504843918192,0.5939720129171152,0.43216361679224974,0.5345102260495156,0.5782131324004306,0.5993110871905275,0.8283315392895587,0.6066738428417653,0.7496232508073197,0.6333692142088267,0.6766846071044134,0.6811625403659849,0.5197416576964478,0.711259418729817,0.5429063509149623,0.5918191603875135,0.6337997847147471,0.0,0.5243487621097955,0.5971151776103337,0.7456189451022605,0.7071689989235738,0.6438320775026911,0.6685898815931108,0.8540365984930032,0.5119483315392895
1,hr,chorwacki,0.5593541442411195,0.7285252960172228,0.17377825618945103,0.6181700753498386,0.6733261571582346,0.4207965554359526,0.06260495156081808,0.36766415500538213,0.6194617868675996,0.8344025834230355,0.6484391819160388,0.7388589881593111,0.6634230355220667,0.6680301399354144,0.7644348762109795,0.5043702906350915,0.7218514531754575,0.5836813778256189,0.39306781485468245,0.5670613562970936,0.5243487621097955,0.0,0.5922066738428418,0.7299031216361679,0.687534983853606,0.6015500538213132,0.5370075349838536,0.8597201291711518,0.01519913885898816
6,es,hiszpanski,0.3421313240043057,0.7758019375672767,0.6266523143164693,0.5882023681377826,0.37442411194833153,0.5867384284176534,0.6122712594187298,0.6142518837459634,0.46880516684607104,0.835005382131324,0.46346609257265875,0.7923358449946178,0.632508073196986,0.6728094725511302,0.6267814854682454,0.6083100107642626,0.6616146393972013,0.18958019375672766,0.6355220667384284,0.6642841765339075,0.5971151776103337,0.5922066738428418,0.0,0.7506566200215286,0.6971797631862218,0.673670613562971,0.6996770721205597,0.8258342303552206,0.6126157158234661
11,hu,wegierski,0.7395909580193757,0.7539720129171151,0.6845640473627557,0.6707857911733046,0.7281808396124866,0.7127664155005382,0.7330893433799784,0.6440473627556512,0.807534983853606,0.887448869752422,0.7338213132400431,0.7923789020452099,0.7071689989235738,0.7395048439181916,0.7522497308934338,0.7218083961248655,0.7647793326157158,0.7011840688912809,0.6467168998923574,0.7386006458557589,0.7456189451022605,0.7299031216361679,0.7506566200215286,0.0,0.7781700753498385,0.7534553283100107,0.7471689989235737,0.9239612486544672,0.7260279870828849
7,mt,maltanski,0.6542949407965555,0.7676641550053821,0.7081593110871905,0.662475780409042,0.6803875134553283,0.6728955866523143,0.7171151776103337,0.7361463939720129,0.7200861141011841,0.7988374596340151,0.6177395048439182,0.8068030139935415,0.7088051668460711,0.721248654467169,0.6868891280947255,0.6490419806243273,0.7199138858988159,0.6643272335844994,0.7315392895586652,0.7180193756727664,0.7071689989235738,0.687534983853606,0.6971797631862218,0.7781700753498385,0.0,0.6835737351991389,0.7579332615715824,0.8232938643702906,0.7106566200215285
3,fi,finski,0.6154144241119484,0.7446716899892357,0.6315177610333692,0.5811410118406889,0.6186006458557589,0.508762109795479,0.6382346609257266,0.6806027987082884,0.6421097954790097,0.8510226049515608,0.6282454251883746,0.7515177610333692,0.6432723358449947,0.6667814854682454,0.6140365984930032,0.5913455328310011,0.6697093649085037,0.6091711517761034,0.6621313240043057,0.4241119483315393,0.6438320775026911,0.6015500538213132,0.673670613562971,0.7534553283100107,0.6835737351991389,0.0,0.7455758880516684,0.8295801937567276,0.6436167922497309
1,pl,polski,0.6806027987082884,0.8310010764262648,0.5379978471474705,0.7004951560818083,0.7717115177610334,0.635091496232508,0.5326587728740582,0.5072551130247578,0.7539720129171151,0.9251668460710442,0.7079009687836383,0.8547685683530678,0.7536706135629709,0.7466523143164693,0.7529817007534984,0.6790527448869752,0.778729817007535,0.6768568353067815,0.5735199138858988,0.7716254036598493,0.6685898815931108,0.5370075349838536,0.6996770721205597,0.7471689989235737,0.7579332615715824,0.7455758880516684,0.0,0.9116899892357373,0.5631431646932186
8,ga,gaelicki,0.7732185145317546,0.9032508073196986,0.9044133476856835,0.7995263724434877,0.7402368137782562,0.8452960172228202,0.8831431646932185,0.9161679224973089,0.8070613562970936,0.9506135629709365,0.6555866523143165,0.88508073196986,0.8523143164693219,0.8570936490850377,0.811280947255113,0.8061141011840689,0.797545748116254,0.7485037674919268,0.8851668460710441,0.8149407965554359,0.8540365984930032,0.8597201291711518,0.8258342303552206,0.9239612486544672,0.8232938643702906,0.8295801937567276,0.9116899892357373,0.0,0.8622174381054898
1,sr,serbski,0.5938858988159311,0.7110441334768568,0.1871259418729817,0.6010333692142088,0.6705705059203445,0.432551130247578,0.07306781485468246,0.36099031216361677,0.6544241119483315,0.8253606027987083,0.6582131324004306,0.7172874058127018,0.6167491926803014,0.6719913885898816,0.7567276641550054,0.5080301399354145,0.7245640473627557,0.6006458557588805,0.43332615715823464,0.5868675995694295,0.5119483315392895,0.01519913885898816,0.6126157158234661,0.7260279870828849,0.7106566200215285,0.6436167922497309,0.5631431646932186,0.8622174381054898,0.0
